,COMPANY NAME,META,Number of shares,Face Value,Current Price,Market Capitalization
1,INDUSIND BANK LTD,,,10,1039.9,80400.41
1,ICICI BANK LTD,,,2,609.45,421364.51
1,HINDUSTAN UNILEVER LTD,,,1,2201.1,517160.83
1,HERO MOTOCORP LTD,,,2,3461.7,69157.92
1,HINDALCO INDUSTRIES LTD,,,1,337.85,75902.16
1,HDFC LIFE INSURANCE COMPANY LTD,,,10,717.25,144933.35
1,HDFC BANK LTD,,,1,1530,843155.33
1,GRASIM INDUSTRIES LTD,,,2,1339.35,88122.67
1,HOUSING DEVELOPMENT FINANCE CORPORATION LTD,,,2,2543.9,458674.84
1,HCL TECHNOLOGIES LTD,,,2,941.5,255491.57
1,GAIL (INDIA) LTD,,,10,147.15,66366.74
1,EICHER MOTORS LTD,,,1,2587.75,70734.84
1,DR REDDY'S LABORATORIES LTD,,,5,4492.5,74710.53
1,COAL INDIA LTD,,,10,151.1,93118.83
1,DIVI'S LABORATORIES LTD,,,2,3496.9,92831.71
1,CIPLA LTD,,,2,805.15,64932.16
1,BHARTI AIRTEL LTD,,,5,532.8,290672.1
1,BAJAJ FINSERV LTD,,,5,9958.1,158470.66
1,BRITANNIA INDUSTRIES LTD,,,1,3491.75,84105.19
1,BAJAJ FINANCE LTD,,,2,5444.9,328102.78
1,BHARAT PETROLEUM CORPORATION LTD,,,10,461.8,100176.09
1,BAJAJ AUTO LTD,,,10,3852.85,111488.77
1,ADANI PORTS & SPECIAL ECONOMIC ZONE LTD,,,2,748.95,152168.05
1,ASIAN PAINTS LTD,,,1,2387.1,228970.1
1,AXIS BANK LTD,,,2,730.75,223833.25
1,ULTRATECH CEMENT LTD,,,10,6810.3,196573.49
1,WIPRO LTD,,,2,420.85,230585.23
1,UPL LTD,,,2,591.55,45197.11
1,TITAN COMPANY LTD,,,1,1474.2,130877.44
1,TATA MOTORS LTD,,,2,325.15,114844.94
1,TATA CONSULTANCY SERVICES LTD,,,1,3008.05,1112693.15
1,TECH MAHINDRA LTD,,,5,959.7,92898.75
1,SBI LIFE INSURANCE COMPANY LTD,,,10,903.55,90361.3
1,TATA STEEL LTD,,,10,733.3,82605.53
1,STATE BANK OF INDIA,,,1,383.65,342392.72
1,SUN PHARMACEUTICALS INDUSTRIES LTD,,,1,611.2,146647.35
1,SHREE CEMENT LTD,,,10,27848.6,100479.83
1,RELIANCE INDUSTRIES LTD,,,10,2178.7,1435183.81
1,POWER GRID CORPORATION OF INDIA LTD,,,10,220.25,115225.77
1,OIL & NATURAL GAS CORPN LTD,,,5,114.95,144610.31
1,NTPC LTD,,,10,108.7,105402.76
1,NESTLE INDIA LTD,,,10,16782.9,161813.53
1,MARUTI SUZUKI INDIA LTD,,,5,7249,218977.79
1,JSW STEEL LTD,,,1,406.4,98235.84
1,LARSEN & TOUBRO LTD,,,2,1463.55,205546.11
1,MAHINDRA & MAHINDRA LTD,,,5,840.4,104477.9
1,KOTAK MAHINDRA BANK LTD,,,5,1922.5,380966.78
1,ITC LTD,,,1,208.55,256680.62
1,INFOSYS LTD,,,5,1316.7,560899.45
1,INDIAN OIL CORPORATION LTD,,,10,101.45,95506.64
